category_full,category_level_1,category_level_2,category_level_3,category_level_4,category_id
Demande de service/Matériel/Equipements Expert/Caméra thermique,Demande de service,Matériel,Equipements Expert,Caméra thermique,300
Demande de service/Matériel/Informatique,Demande de service,Matériel,Informatique,,301
Demande de service/Application métier/KYRIBA,Demande de service,Application métier,KYRIBA,,302
Demande de service/Matériel/Téléphonie/Remplacement de ma carte SIM,Demande de service,Matériel,Téléphonie,Remplacement de ma carte SIM,303
Demande de service/Application métier/SIMPLISSIMO,Demande de service,Application métier,SIMPLISSIMO,,304
Demande de service/Matériel/Equipements Expert/Paire de bottes,Demande de service,Matériel,Equipements Expert,Paire de bottes,305
Demande de service/Matériel/Equipements Expert/Nouveau télémètre,Demande de service,Matériel,Equipements Expert,Nouveau télémètre,306
Demande de service/Application métier/SAGE X3/Demande d'accès,Demande de service,Application métier,SAGE X3,Demande d'accès,307
Demande de service/Logiciel Bureautique/PDF-Exchange,Demande de service,Logiciel Bureautique,PDF-Exchange,,308
"Demande de service/Logiciel Bureautique/Création, modification et suppression de compte",Demande de service,Logiciel Bureautique,"Création, modification et suppression de compte",,309
Demande de service/Logiciel Bureautique/Office365/Demande de paramétrage,Demande de service,Logiciel Bureautique,Office365,Demande de paramétrage,310
