ticket_type,priority,urgency,category_level_1,category_level_2,category_level_3,location,entity,service_label,origin,created_hour,created_day_of_week,is_weekend,description_length,category_level_2
Incident,5,3 - Faible,Incidents,Systéme,Windows,NANTES,CELLINKS,,Téléphone,10,2,False,16,Systéme
Incident,4,2 - Moyenne,Incidents,Application métier,ESKER,NANCY,TEXA SERVICES,,Self Service,10,2,False,88,Application métier
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,ROUEN,VOXENS,,Téléphone,9,2,False,359,Logiciel Bureautique
Incident,4,2 - Moyenne,Incidents,Portail,,AVIGNON,TEXA,,Self Service,9,2,False,466,Portail
Incident,4,2 - Moyenne,Incidents,Application métier,Avensys,RENNES,CLE,,Self Service,9,2,False,89,Application métier
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,-,QANTEX,,Self Service,9,2,False,604,Systéme
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,NANTES,CLE,,Self Service,9,2,False,377,Matériel
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA,,Kiosque IT,9,2,False,63,Systéme
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,-,STELLIANT,,Kiosque IT,9,2,False,76,Logiciel Bureautique
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TGS,,Kiosque IT,9,2,False,63,Systéme
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,INQUEST,,Téléphone,9,2,False,171,Systéme
Incident,5,3 - Faible,Incidents,Application métier,SINERGIE,NANTES,TEXA,,Téléphone,8,2,False,186,Application métier
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,LYON,TEXA SERVICES,,Self Service,8,2,False,84,Matériel
Incident,5,3 - Faible,Incidents,Systéme,Windows,VALENCE,CLE EXPERTISES,,Téléphone,8,2,False,302,Systéme
Incident,3,1 - Haute,Incidents,Matériel,Informatiques,NANTES,CLE,,Téléphone,19,1,False,424,Matériel
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX MOBILE,NICE,TEXA,,Self Service,18,1,False,365,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,GMC,,Téléphone,17,1,False,131,Systéme
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,NANTES,TEXA,,Self Service,16,1,False,74,Systéme
Incident,5,3 - Faible,Incidents,Application métier,ITEX,-,VOXENS,,Téléphone,16,1,False,380,Application métier
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,PAU,PHENIX,,Self Service,16,1,False,61,Systéme
Incident,4,2 - Moyenne,Incidents,Portail,,LILLE,TEXA SERVICES,,Self Service,15,1,False,98,Portail
Incident,2,1 - Haute,Incidents,Application métier,Expensya,LILLE,CLE,,Téléphone,15,1,False,533,Application métier
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,NANTES,GMC,,Self Service,14,1,False,84,Logiciel Bureautique
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,GMC,,Self Service,12,1,False,309,Logiciel Bureautique
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,-,QANTEX,,Téléphone,12,1,False,685,Logiciel Bureautique
Incident,5,3 - Faible,Incidents,Systéme,Windows,Vitrolles,GMC,,Téléphone,12,1,False,101,Systéme
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,-,TEXA,,Self Service,11,1,False,877,Matériel
Incident,5,3 - Faible,Incidents,Systéme,Windows,NANTES,INQUEST,,Téléphone,11,1,False,220,Systéme
Incident,5,3 - Faible,Incidents,Application métier,ITEX,-,VOXENS,,Téléphone,11,1,False,275,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,PLATEFORME PCN,TEXA,,Téléphone,11,1,False,71,Systéme
Incident,1,1 - Haute,Incidents,Application métier,ITEX MOBILE,NIORT,TEXA SERVICES,,Téléphone,11,1,False,327,Application métier
Incident,5,3 - Faible,Incidents,Application métier,Ringover,RENNES,GEOP,,Téléphone,10,1,False,79,Application métier
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,-,VOXENS,,Self Service,10,1,False,865,Systéme
Incident,3,2 - Moyenne,Incidents,Systéme,Windows Serveur,-,VOXENS,,Self Service,10,1,False,117,Systéme
Incident,5,3 - Faible,Incidents,Systéme,Windows,CREIL,TEXA,,Téléphone,10,1,False,206,Systéme
Incident,4,2 - Moyenne,Incidents,Portail,,ORLEANS,VOXENS,,Self Service,10,1,False,544,Portail
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,PHENIX,,Téléphone,10,1,False,81,Systéme
Incident,5,3 - Faible,Incidents,Application métier,Avensys,-,CLE,,Téléphone,10,1,False,100,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA,,Kiosque IT,10,1,False,105,Systéme
Incident,5,3 - Faible,Incidents,Logiciel Bureautique,PDF-Exchange,-,EURISK,,Téléphone,9,1,False,493,Logiciel Bureautique
Incident,5,3 - Faible,Incidents,Systéme,Windows,VALENCE,CLE EXPERTISES,,Téléphone,9,1,False,895,Systéme
Incident,5,3 - Faible,Incidents,Application métier,Ringover,ROUEN,TEXA SERVICES,,Téléphone,9,1,False,301,Application métier
Incident,5,3 - Faible,Incidents,Application métier,Avensys,-,CLE,,Téléphone,9,1,False,110,Application métier
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,CAEN,TEXA,,Self Service,8,1,False,284,Matériel
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,LILLE,TEXA,,Self Service,8,1,False,417,Application métier
Incident,5,3 - Faible,Incidents,Sécurité,MFA,BOURGES CNG,TEXA SERVICES,,Téléphone,8,1,False,344,Sécurité
Incident,5,3 - Faible,Incidents,Systéme,Windows,AVIGNON,TEXA SERVICES,,Téléphone,8,1,False,230,Systéme
Incident,4,2 - Moyenne,Incidents,Sécurité,Alerte Sentinel,ANNECY,TEXA,,Self Service,7,1,False,370,Sécurité
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,FPS,,Self Service,7,1,False,91,Logiciel Bureautique
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,ORLEANS,VOXENS,,Self Service,7,1,False,136,Application métier
Incident,4,2 - Moyenne,Incidents,Application métier,Sinapps,-,VOXENS,,Self Service,19,0,False,85,Application métier
Incident,4,2 - Moyenne,Incidents,Application métier,CASSIOPEE,LILLE,CLE,,Self Service,18,0,False,199,Application métier
Incident,5,3 - Faible,Incidents,Application métier,ITEX MOBILE,-,TEXA,,Téléphone,17,0,False,262,Application métier
